Age,Male,Male,Male,Female,Female,Female,Total,Total,Total
NaN,Population,Deaths,Rate,Population,Deaths,Rate,Population,Deaths,Rate
<13,26938198,520,1.9,25808897,417,1.6,52747095,938,1.8
13-15,6391912,250,3.9,6127522,140,2.3,12519434,391,3.1
16-19,8624878,1538,17.8,8234283,786,9.5,16859161,2324,13.8
20-24,11667854,3095,26.5,11071459,1109,10.0,22739313,4205,18.5
25-29,11409399,2702,23.7,11052155,824,7.5,22461554,3527,15.7
30-34,10889739,1991,18.3,10785909,762,7.1,21675648,2754,12.7
35-39,10173424,1789,17.6,10201161,625,6.1,20374585,2414,11.8
40-44,10030153,1654,16.5,10185045,583,5.7,20215198,2238,11.1
45-49,10334929,1722,16.7,10518915,634,6.0,20853844,2356,11.3
50-54,10963847,2119,19.3,11370470,780,6.9,22334317,2900,13.0
55-59,10597567,1960,18.5,11210375,677,6.0,21807942,2638,12.1
60-64,9117180,1592,17.5,9952697,555,5.6,19069877,2149,11.3
65-69,7596190,1252,16.5,8471278,546,6.4,16067468,1799,11.2
70-74,5296158,867,16.4,6186891,449,7.3,11483049,1316,11.5
75-79,3610906,655,18.1,4512927,414,9.2,8123833,1069,13.2
80-84,2412665,537,22.3,3386676,378,11.2,5799341,916,15.8
85+,2174298,594,27.3,4112863,471,11.5,6287161,1065,16.9
Total,158229297,24899,15.7,163189523,10166,6.2,321418820,35092,10.9
